Año;MaxSup;MaxInf
1980;33,275;5,45833
1981;32,7167;4,95833
1982;32,6917;4,875
1983;33,5833;5,73333
1984;32,3667;4,70833
1985;32,65;4,8
1986;32,9;4,95
1987;33,8417;6,08333
1988;33,075;5,34167
1989;32,625;4,73333
1990;32,9833;5,01667
1991;33,3417;5,51667
1992;33,65;5,80833
1993;33,625;5,65
1994;33,35;5,44167
1995;33,7917;5,93333
1996;32,4083;4,76667
1997;32,6;4,95
1998;32,7667;5,14167
1999;32,85;5,075
2000;33,0917;5,33333
2001;33,8917;6,09167
2002;33,2833;5,60833
2003;32,75;5,20833
2004;32,55;4,98333
2005;32,5333;4,975
2006;32,2417;4,625
2007;32,25;4,65833
2008;32,7583;4,975
2009;33,4083;5,65833
2010;33,8167;6,05
2011;32,9167;5,25
2012;33,2083;5,45
2013;33,6667;5,88333
2014;33,925;6,19167
2015;33,95;6,2
2016;33,8333;5,96667
2017;33,15;5,48333
2018;33,2333;5,34167
2019;35,4583;5,50833
2020;34,9;5,74167
